A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
6.37	0.148	0.18	0.86355	1	0.03	0.86355	0
6.22	0.191	0.78	0.48303	1	0.61	0.48303	0
6.6	-0.076	-0.3	0.77961	1	0.09	0.77961	0
7.37	-0.198	-0.49	0.65368	1	0.24	0.65368	0
7.03	0.396	1.75	0.16113	1	3.06	0.16113	0
7.23	0.47	0.51	0.64219	1	0.26	0.64219	0
8.79	0.329	0.99	0.38297	1	0.98	0.38297	0
7.58	0.322	2.06	0.11499	1	4.22	0.11499	0
4.8	0.22	0.93	0.40756	1	0.87	0.40756	0
6.32	1.497	2.51	0.07158	1	6.28	0.07158	0
6.3	0.054	0.32	0.76667	1	0.1	0.76667	0
5.96	-0.149	-0.32	0.76688	1	0.1	0.76688	0
5.1	0.33	1.87	0.14027	1	3.51	0.14027	0
7.56	0.143	0.09	0.93527	1	0.01	0.93527	0
7.53	-0.965	-4.82	0.01045	1	23.21	0.01045	0
4.92	-0.194	-1.16	0.31478	1	1.35	0.31478	0
8.03	0.269	0.58	0.59763	1	0.33	0.59763	0
7.45	0.986	0.96	0.39674	1	0.92	0.39674	0
7.1	-0.422	-1.12	0.32938	1	1.26	0.32938	0
5.94	1.63	1.62	0.18734	1	2.61	0.18734	0
7.25	-0.354	-0.92	0.41581	1	0.84	0.41581	0
7.53	-0.733	-1.84	0.14497	1	3.4	0.14497	0
6.88	0.678	2.33	0.0854	1	5.45	0.0854	0
6.89	0.724	0.9	0.42113	1	0.82	0.42113	0
5.93	0.029	0.05	0.95915	1	0	0.95915	0
5.99	0.01	0.02	0.98475	1	0	0.98475	0
7.64	-0.224	-0.85	0.44869	1	0.72	0.44869	0
7.07	-0.252	-0.9	0.42346	1	0.81	0.42346	0
7.39	0.919	1.21	0.29851	1	1.46	0.29851	0
5.89	-0.188	-0.53	0.62748	1	0.28	0.62748	0
7.23	-1.192	-1.52	0.2083	1	2.32	0.2083	0
5.82	0.261	1.03	0.36705	1	1.05	0.36705	0
5.53	0.696	1.39	0.24153	1	1.94	0.24153	0
6.95	-0.122	-0.09	0.93591	1	0.01	0.93591	0
7.32	-0.182	-0.44	0.68298	1	0.2	0.68298	0
7.11	0.308	1.16	0.31631	1	1.34	0.31631	0
7.99	-0.084	-0.16	0.87954	1	0.03	0.87954	0
9	1.377	3.62	0.02568	1	13.11	0.02568	0
8.91	0.778	2.37	0.08229	1	5.62	0.08229	0
6.46	-0.409	-0.45	0.6758	1	0.21	0.6758	0
5.19	-0.056	-0.09	0.93434	1	0.01	0.93434	0
7.74	-0.318	-0.66	0.54751	1	0.44	0.54751	0
7.2	-0.201	-0.42	0.7008	1	0.17	0.7008	0
4.51	0.45	1.31	0.26475	1	1.73	0.26475	0
7.99	-0.106	-0.26	0.81011	1	0.07	0.81011	0
5.92	0.918	4.47	0.01331	1	19.98	0.01331	0
5.83	-0.679	-1.78	0.15598	1	3.16	0.15598	0
2.91	-0.088	-0.47	0.66207	1	0.22	0.66207	0
5.98	0.14	0.68	0.53796	1	0.46	0.53796	0
4.68	0.675	1	0.37992	1	0.99	0.37992	0
7.58	0.674	0.91	0.41793	1	0.83	0.41793	0
6.5	-0.003	-0.02	0.98711	1	0	0.98711	0
5.27	-0.2	-1.21	0.29751	1	1.47	0.29751	0
7.47	-0.183	-0.59	0.58873	1	0.35	0.58873	0
9.06	-0.285	-0.53	0.62462	1	0.28	0.62462	0
7.53	0.197	1.08	0.34382	1	1.18	0.34382	0
5.65	-0.089	-0.35	0.74513	1	0.12	0.74513	0
7.54	0.319	0.79	0.47472	1	0.63	0.47472	0
7.85	-0.202	-0.93	0.40706	1	0.87	0.40706	0
7.7	0.043	0.1	0.92553	1	0.01	0.92553	0
8	-0.719	-1.69	0.1716	1	2.87	0.1716	0
6.49	-1.33	-1.67	0.1767	1	2.78	0.1767	0
6.46	-0.801	-1.33	0.25905	1	1.78	0.25905	0
6.3	-0.305	-0.95	0.40108	1	0.9	0.40108	0
6.01	0.123	0.74	0.50509	1	0.54	0.50509	0
6.23	0.537	2.22	0.09584	1	4.95	0.09584	0
5.27	-0.464	-0.96	0.39593	1	0.92	0.39593	0
4.29	-1.492	-1.26	0.28034	1	1.6	0.28034	0
7.52	-1.054	-4.53	0.01278	1	20.49	0.01278	0
5.19	-0.057	-0.37	0.73035	1	0.14	0.73035	0
6.38	0.25	0.47	0.66572	1	0.22	0.66572	0
6.08	0.753	1.58	0.19453	1	2.51	0.19453	0
8.13	-0.418	-0.84	0.44945	1	0.71	0.44945	0
7.25	0.437	1.43	0.23238	1	2.04	0.23238	0
6.01	0.456	2.51	0.07147	1	6.29	0.07147	0
6.92	-0.239	-1.27	0.27904	1	1.61	0.27904	0
6.33	0.027	0.16	0.88435	1	0.02	0.88435	0
8.84	0.151	0.48	0.65795	1	0.23	0.65795	0
6.09	-0.853	-3.32	0.03312	1	11.04	0.03312	0
6.35	-0.336	-1.36	0.25195	1	1.84	0.25195	0
10.09	0.599	1.18	0.3099	1	1.38	0.3099	0
7.18	1.771	1.61	0.18844	1	2.6	0.18844	0
6.69	-0.064	-0.36	0.73821	1	0.13	0.73821	0
6.88	0.07	0.34	0.75222	1	0.12	0.75222	0
4.45	0.382	0.46	0.6696	1	0.21	0.6696	0
5.45	1.078	2.06	0.11468	1	4.23	0.11468	0
8.09	0.495	1.2	0.30313	1	1.43	0.30313	0
5.16	1.684	2.58	0.06637	1	6.67	0.06637	0
6.48	0.178	0.72	0.51598	1	0.51	0.51598	0
8.04	0.336	0.67	0.54342	1	0.45	0.54342	0
7.49	-0.035	-0.06	0.95608	1	0	0.95608	0
8.07	-0.104	-0.05	0.96121	1	0	0.96121	0
6.2	-0.084	-0.19	0.86031	1	0.04	0.86031	0
5.69	0.032	0.19	0.86133	1	0.04	0.86133	0
6.2	0.172	0.45	0.67469	1	0.21	0.67469	0
5.95	2.273	2.06	0.11394	1	4.26	0.11394	0
7.4	-0.187	-0.56	0.60535	1	0.32	0.60535	0
5.6	-0.46	-1.47	0.2224	1	2.15	0.2224	0
6.68	-1.264	-2.79	0.05421	1	7.77	0.05421	0
6.66	0.11	0.26	0.80812	1	0.07	0.80812	0
8.18	-0.296	-1.18	0.30803	1	1.4	0.30803	0
6.13	0.825	1.67	0.17605	1	2.79	0.17605	0
7.08	-0.065	-0.22	0.834	1	0.05	0.834	0
6.63	-0.187	-0.59	0.58927	1	0.35	0.58927	0
5.09	0.092	0.22	0.83926	1	0.05	0.83926	0
7.44	-0.052	-0.11	0.91538	1	0.01	0.91538	0
6.24	0.311	0.78	0.48076	1	0.61	0.48076	0
6.9	-0.617	-0.73	0.50663	1	0.54	0.50663	0
6.25	-0.157	-0.33	0.75762	1	0.11	0.75762	0
7.04	-0.94	-4.04	0.01835	1	16.32	0.01835	0
8.28	-0.521	-1.3	0.27024	1	1.68	0.27024	0
9.16	0.127	0.69	0.52886	1	0.48	0.52886	0
6.95	0.69	4.22	0.01599	1	17.82	0.01599	0
6.83	0.591	1.19	0.30579	1	1.41	0.30579	0
7.68	0.637	1.55	0.20157	1	2.41	0.20157	0
6.36	-0.969	-1.05	0.35954	1	1.09	0.35954	0
6.09	-0.362	-1.79	0.15345	1	3.22	0.15345	0
6.19	0.715	1.1	0.33964	1	1.2	0.33964	0
4.75	0.911	1.51	0.21216	1	2.27	0.21216	0
6.7	-0.04	-0.22	0.84	1	0.05	0.84	0
6.7	-0.205	-0.78	0.48086	1	0.61	0.48086	0
5.32	0.147	0.49	0.65222	1	0.24	0.65222	0
5.18	0.045	0.22	0.83736	1	0.05	0.83736	0
7.23	-0.781	-2.98	0.04517	1	8.88	0.04517	0
4.95	-0.53	-3.39	0.03127	1	11.48	0.03127	0
9.79	-0.407	-1.53	0.20713	1	2.33	0.20713	0
7.07	1.447	2.47	0.07422	1	6.11	0.07422	0
7.65	0.727	0.37	0.73015	1	0.14	0.73015	0
6.19	-0.246	-0.46	0.67156	1	0.21	0.67156	0
6.25	-0.459	-0.87	0.43908	1	0.75	0.43908	0
7.37	-0.899	-2.29	0.08969	1	5.23	0.08969	0
7.07	0.01	0.06	0.95202	1	0	0.95202	0
7.04	-0.039	-0.05	0.95987	1	0	0.95987	0
5.55	-0.017	-0.02	0.985	1	0	0.985	0
3.92	-0.001	0	0.9978	1	0	0.9978	0
5.99	0.656	1.17	0.31136	1	1.37	0.31136	0
5.48	0.24	1.16	0.31489	1	1.35	0.31489	0
9.3	-1.484	-2.1	0.10906	1	4.43	0.10906	0
6.84	0.056	0.29	0.78947	1	0.08	0.78947	0
6.89	0.05	0.1	0.92768	1	0.01	0.92768	0
7.24	-0.361	-0.53	0.62484	1	0.28	0.62484	0
5.87	0.424	1.24	0.28687	1	1.55	0.28687	0
7.65	-0.155	-0.93	0.40965	1	0.86	0.40965	0
6.78	-0.415	-0.42	0.70042	1	0.17	0.70042	0
3.11	-0.261	-0.72	0.51388	1	0.52	0.51388	0
6.66	-0.047	-0.16	0.88075	1	0.03	0.88075	0
7.97	-0.248	-0.62	0.57432	1	0.38	0.57432	0
8.13	0.089	0.29	0.7891	1	0.08	0.7891	0
6.6	-0.227	-0.43	0.69081	1	0.19	0.69081	0
7.19	0.465	1.41	0.23841	1	1.97	0.23841	0
8.18	0.096	0.6	0.58431	1	0.36	0.58431	0
7.92	0.497	1.1	0.33876	1	1.21	0.33876	0
6.11	-0.04	-0.13	0.90144	1	0.02	0.90144	0
6.5	0.178	0.55	0.61587	1	0.3	0.61587	0
7.46	0.358	1.25	0.28488	1	1.56	0.28488	0
8.69	0.154	0.22	0.84097	1	0.05	0.84097	0
6.06	0.118	0.08	0.93706	1	0.01	0.93706	0
6.32	-0.058	-0.03	0.97563	1	0	0.97563	0
9.02	-0.731	-2.74	0.05654	1	7.53	0.05654	0
9.85	0.052	0.21	0.84175	1	0.05	0.84175	0
5.79	-0.815	-0.95	0.40101	1	0.9	0.40101	0
7.11	-0.462	-1.15	0.31906	1	1.32	0.31906	0
5.78	-0.149	-0.69	0.53331	1	0.47	0.53331	0
6.11	-0.176	-0.43	0.69368	1	0.18	0.69368	0
5.78	0.613	1.29	0.27343	1	1.65	0.27343	0
5.69	0.805	2.97	0.04538	1	8.85	0.04538	0
3.97	0.091	0.55	0.61269	1	0.3	0.61269	0
7.95	-0.598	-1.82	0.14865	1	3.32	0.14865	0
7.19	-0.554	-3.52	0.02783	1	12.42	0.02783	0
8.62	1.857	1.48	0.21772	1	2.2	0.21772	0
6.69	1.654	2	0.12238	1	3.99	0.12238	0
9.26	0.336	0.77	0.4874	1	0.59	0.4874	0
6.89	-0.411	-0.46	0.67405	1	0.21	0.67405	0
5.88	0.256	0.79	0.47926	1	0.62	0.47926	0
5.89	0.501	2.67	0.06056	1	7.15	0.06056	0
7.44	0.95	1.95	0.12891	1	3.8	0.12891	0
6.37	-0.149	-0.78	0.48138	1	0.61	0.48138	0
6.3	-0.162	-0.99	0.38261	1	0.98	0.38261	0
5.69	0.22	0.86	0.44053	1	0.75	0.44053	0
4.83	0.052	0.25	0.81432	1	0.06	0.81432	0
5.78	0.064	0.29	0.78913	1	0.08	0.78913	0
6.14	-0.779	-1.91	0.1345	1	3.66	0.1345	0
4.84	0	0	1	1	0	1	0
8.91	-0.479	-0.92	0.41466	1	0.84	0.41466	0
6.82	0.045	0.08	0.94075	1	0.01	0.94075	0
6.1	0.449	2.42	0.07786	1	5.88	0.07786	0
5.45	0.026	0.15	0.88708	1	0.02	0.88708	0
5.85	0.379	1.31	0.26697	1	1.71	0.26697	0
9.48	-1.016	-2.08	0.11223	1	4.32	0.11223	0
5.67	-1.682	-0.97	0.39283	1	0.93	0.39283	0
5.49	0.492	0.85	0.44888	1	0.72	0.44888	0
5.48	0.407	0.29	0.79057	1	0.08	0.79057	0
8.1	-0.236	-0.82	0.4619	1	0.67	0.4619	0
6.62	0.454	1.2	0.30298	1	1.43	0.30298	0
6.68	-0.119	-0.55	0.61689	1	0.3	0.61689	0
7.43	0.243	0.64	0.55887	1	0.41	0.55887	0
6	0.572	1.51	0.2104	1	2.29	0.2104	0
6.94	0.864	1.64	0.18303	1	2.68	0.18303	0
5.83	1.422	2.51	0.07162	1	6.28	0.07162	0
5.73	0.153	0.35	0.74627	1	0.12	0.74627	0
9.16	0.891	3.46	0.02942	1	11.97	0.02942	0
6.75	0.301	1.71	0.16919	1	2.91	0.16919	0
7.5	-0.414	-1.15	0.31764	1	1.33	0.31764	0
3.14	0.243	0.87	0.43745	1	0.76	0.43745	0
5.85	0.193	1.08	0.34516	1	1.17	0.34516	0
4.82	-0.695	-1.74	0.16362	1	3.01	0.16362	0
4.16	-0.656	-1.07	0.35095	1	1.14	0.35095	0
7.42	-0.946	-1.54	0.20464	1	2.37	0.20464	0
7.44	-0.673	-1.03	0.36673	1	1.06	0.36673	0
8.26	-1.024	-1.21	0.29758	1	1.47	0.29758	0
7.13	-0.657	-2.17	0.10152	1	4.71	0.10152	0
5.17	-0.156	-0.12	0.91106	1	0.01	0.91106	0
6.11	0.393	0.62	0.57032	1	0.39	0.57032	0
8.27	0.196	0.45	0.67773	1	0.2	0.67773	0
7.15	-0.964	-1.26	0.28248	1	1.58	0.28248	0
6.89	0.627	2.52	0.07029	1	6.37	0.07029	0
5.85	0.842	2.84	0.05135	1	8.09	0.05135	0
6.94	0.352	1.95	0.1289	1	3.8	0.1289	0
6.81	0.036	0.19	0.85718	1	0.04	0.85718	0
8.81	1.52	0.42	0.69671	1	0.18	0.69671	0
7.38	1.373	1.56	0.20026	1	2.43	0.20026	0
8.14	0.336	0.67	0.54416	1	0.44	0.54416	0
3.42	-0.432	-0.96	0.39402	1	0.93	0.39402	0
4.36	-0.079	-0.3	0.77888	1	0.09	0.77888	0
5.52	0.389	0.62	0.5729	1	0.38	0.5729	0
6.79	1.234	1	0.37918	1	1	0.37918	0
6.09	0.292	1.27	0.27757	1	1.62	0.27757	0
6.14	0.217	1.05	0.35829	1	1.1	0.35829	0
6.29	-0.685	-1.88	0.14003	1	3.52	0.14003	0
6.92	-0.306	-0.6	0.58229	1	0.36	0.58229	0
5.37	-0.104	-0.61	0.57533	1	0.38	0.57533	0
8.35	0.109	0.21	0.84334	1	0.04	0.84334	0
6.54	-0.504	-1.1	0.33857	1	1.21	0.33857	0
6.45	-1.567	-3.59	0.02631	1	12.9	0.02631	0
6.49	0.164	0.35	0.74737	1	0.12	0.74737	0
6.22	-0.008	-0.02	0.98316	1	0	0.98316	0
7.43	-0.59	-1.11	0.33234	1	1.24	0.33234	0
6.84	1.288	1.81	0.14984	1	3.29	0.14984	0
7.6	1.25	3.46	0.02948	1	11.95	0.02948	0
7.07	-0.15	-0.3	0.77999	1	0.09	0.77999	0
6.12	0.103	0.51	0.63712	1	0.26	0.63712	0
8.89	-0.659	-4.3	0.01507	1	18.49	0.01507	0
4.53	0.22	1.19	0.30446	1	1.42	0.30446	0
9.48	-0.448	-1.6	0.19056	1	2.56	0.19056	0
8.2	0.48	0.55	0.61455	1	0.3	0.61455	0
6.43	0.446	1.11	0.33344	1	1.24	0.33344	0
6.28	-0.152	-0.57	0.59949	1	0.33	0.59949	0
7.74	0.007	0.04	0.96998	1	0	0.96998	0
7.55	1.047	1.96	0.12769	1	3.84	0.12769	0
7.19	-0.217	-0.29	0.78884	1	0.08	0.78884	0
5.88	-0.834	-1.89	0.13828	1	3.56	0.13828	0
7.5	0.605	1.52	0.2085	1	2.32	0.2085	0
7.01	-1.103	-1.49	0.21744	1	2.21	0.21744	0
6.91	0.435	0.52	0.63522	1	0.27	0.63522	0
4.92	-1.603	-1.44	0.22972	1	2.07	0.22972	0
4.45	-0.198	-1.13	0.32483	1	1.29	0.32483	0
10.37	0.857	1.42	0.23528	1	2.01	0.23528	0
6.83	0.396	2.57	0.06733	1	6.59	0.06733	0
7.25	0.076	0.46	0.66966	1	0.21	0.66966	0
4.18	0.038	0.2	0.85113	1	0.04	0.85113	0
6.82	0.111	0.55	0.61276	1	0.3	0.61276	0
5.13	0.351	1.98	0.12485	1	3.92	0.12485	0
6.7	0.592	1.36	0.24982	1	1.86	0.24982	0
10.52	0.32	0.73	0.50676	1	0.54	0.50676	0
6.02	-0.499	-0.94	0.40263	1	0.89	0.40263	0
7.68	-0.25	-0.71	0.51941	1	0.51	0.51941	0
7.47	-0.119	-0.51	0.63918	1	0.26	0.63918	0
3.76	-0.008	-0.03	0.97462	1	0	0.97462	0
3.61	0.071	0.44	0.68176	1	0.2	0.68176	0
7.01	-0.523	-2.57	0.06686	1	6.63	0.06686	0
6.33	-0.351	-1.31	0.26646	1	1.71	0.26646	0
5.56	-0.843	-4.73	0.01108	1	22.39	0.01108	0
4.95	0.03	0.13	0.90264	1	0.02	0.90264	0
4.21	-0.14	-0.59	0.58643	1	0.35	0.58643	0
5.83	-0.159	-0.55	0.61572	1	0.3	0.61572	0
6.25	0.45	0.7	0.52407	1	0.49	0.52407	0
6.51	-0.118	-0.27	0.80038	1	0.07	0.80038	0
7.55	0.904	2.56	0.06774	1	6.56	0.06774	0
6.66	2.099	5.65	0.00616	1	31.9	0.00616	0
4.11	0.209	1.36	0.25102	1	1.85	0.25102	0
6.24	0.522	1.38	0.24409	1	1.92	0.24409	0
4.55	0.129	0.31	0.77057	1	0.1	0.77057	0
3.84	0.146	0.69	0.53314	1	0.47	0.53314	0
7.27	-0.29	-0.7	0.52583	1	0.49	0.52583	0
6.6	-1.293	-6.51	0.00381	1	42.33	0.00381	0
8.29	0.712	1.18	0.30929	1	1.39	0.30929	0
4.12	0.223	0.92	0.41588	1	0.84	0.41588	0
7.88	-0.482	-0.85	0.44851	1	0.72	0.44851	0
5.5	0.523	0.99	0.38152	1	0.99	0.38152	0
3.27	0.083	0.51	0.641	1	0.26	0.641	0
3.02	-0.008	-0.05	0.96466	1	0	0.96466	0
2.75	0.01	0.06	0.95339	1	0	0.95339	0
6.73	-0.721	-0.56	0.60784	1	0.31	0.60784	0
6.17	-0.885	-1.02	0.37158	1	1.03	0.37158	0
3.23	-0.094	-0.59	0.59183	1	0.34	0.59183	0
7.02	-1.093	-1.52	0.21002	1	2.3	0.21002	0
6.84	-0.161	-0.21	0.84672	1	0.04	0.84672	0
6.68	0.045	0.04	0.97131	1	0	0.97131	0
7.38	0.119	0.38	0.72189	1	0.15	0.72189	0
5.55	-1.206	-1.13	0.32486	1	1.29	0.32486	0
6.93	-2.133	-0.86	0.4415	1	0.74	0.4415	0
4.87	-0.102	-0.63	0.56369	1	0.4	0.56369	0
3.89	0.245	1.15	0.31773	1	1.33	0.31773	0
3.67	0.016	0.09	0.93148	1	0.01	0.93148	0
7.76	-0.25	-1.38	0.24522	1	1.91	0.24522	0
5.53	-0.147	-0.88	0.43091	1	0.78	0.43091	0
6.27	-0.415	-1.88	0.13892	1	3.54	0.13892	0
7.42	0.124	0.32	0.7668	1	0.1	0.7668	0
7.51	0.062	0.07	0.94415	1	0.01	0.94415	0
7.91	0.077	0.4	0.71286	1	0.16	0.71286	0
7.7	0.324	1.39	0.24345	1	1.92	0.24345	0
5.81	-0.446	-1.2	0.30189	1	1.44	0.30189	0
5.78	0.362	1.23	0.29039	1	1.52	0.29039	0
6.68	-0.076	-0.09	0.93228	1	0.01	0.93228	0
12.91	-0.267	-0.96	0.39599	1	0.92	0.39599	0
6.69	-1.079	-3.43	0.03013	1	11.77	0.03013	0
6.53	-0.128	-0.36	0.74064	1	0.13	0.74064	0
5.53	0.381	1.35	0.25528	1	1.81	0.25528	0
6.78	0.116	0.32	0.76961	1	0.1	0.76961	0
5.71	-0.062	-0.2	0.85541	1	0.04	0.85541	0
5.4	0.091	0.32	0.76879	1	0.1	0.76879	0
4.93	-0.189	-0.88	0.4342	1	0.77	0.4342	0
6.17	0.121	0.24	0.82571	1	0.06	0.82571	0
9.8	4.427	2.58	0.06652	1	6.65	0.06652	0
8.46	0.097	0.11	0.9164	1	0.01	0.9164	0
6.92	-0.405	-1.64	0.18157	1	2.7	0.18157	0
7.54	0.63	0.75	0.49858	1	0.56	0.49858	0
8.11	-0.742	-1.45	0.22726	1	2.09	0.22726	0
7.46	-0.068	-0.22	0.8347	1	0.05	0.8347	0
6.09	0.08	0.34	0.75145	1	0.12	0.75145	0
8.49	2.684	2.5	0.07214	1	6.24	0.07214	0
4.56	0.19	1.19	0.30569	1	1.41	0.30569	0
4.3	-0.03	-0.12	0.90885	1	0.02	0.90885	0
7.01	0.987	2.19	0.09999	1	4.77	0.09999	0
5.29	0.834	2.25	0.0932	1	5.07	0.0932	0
9.37	0.632	2.67	0.06076	1	7.13	0.06076	0
11.97	-0.239	-0.97	0.39275	1	0.93	0.39275	0
6	-0.64	-2.47	0.07404	1	6.12	0.07404	0
5.76	0.07	0.41	0.70558	1	0.17	0.70558	0
5.6	0.841	1.52	0.20835	1	2.32	0.20835	0
8.54	-0.409	-0.91	0.41747	1	0.83	0.41747	0
7.89	0.155	0.97	0.39073	1	0.94	0.39073	0
8.44	0.054	0.31	0.77201	1	0.1	0.77201	0
8.23	0.802	1.24	0.28705	1	1.55	0.28705	0
6.72	0.227	0.54	0.6188	1	0.29	0.6188	0
6.76	-0.331	-1.08	0.34731	1	1.16	0.34731	0
6.17	-1.636	-2.22	0.09631	1	4.93	0.09631	0
7.98	0.525	0.91	0.42066	1	0.82	0.42066	0
7.28	-0.128	-0.36	0.74085	1	0.13	0.74085	0
5.96	-0.498	-2.14	0.10478	1	4.59	0.10478	0
5.56	-1.117	-4.05	0.01822	1	16.4	0.01822	0
4.49	-1.464	-3.85	0.02128	1	14.83	0.02128	0
7.79	-0.815	-3	0.04434	1	9	0.04434	0
6.42	-0.073	-0.3	0.78054	1	0.09	0.78054	0
5.16	0.066	0.36	0.74061	1	0.13	0.74061	0
7.9	0.726	1.41	0.23595	1	2	0.23595	0
7.51	0.171	0.85	0.44912	1	0.72	0.44912	0
6.66	0.103	0.66	0.54881	1	0.43	0.54881	0
5.38	0.25	1.26	0.28049	1	1.6	0.28049	0
6.25	-0.164	-0.85	0.4477	1	0.72	0.4477	0
5.05	-1.221	-3.09	0.04062	1	9.58	0.04062	0
5.78	-0.634	-2.67	0.06101	1	7.11	0.06101	0
5.14	-1.826	-3.14	0.03895	1	9.86	0.03895	0
6.86	-0.358	-2.16	0.10311	1	4.65	0.10311	0
6.91	-0.679	-1.64	0.18197	1	2.7	0.18197	0
6.92	0.303	0.82	0.46138	1	0.67	0.46138	0
7.29	0.064	0.4	0.7098	1	0.16	0.7098	0
7.27	-0.809	-0.38	0.72744	1	0.14	0.72744	0
6.4	1.084	0.81	0.4685	1	0.65	0.4685	0
7.07	-0.285	-0.87	0.43762	1	0.76	0.43762	0
6.2	0.605	1.94	0.13078	1	3.75	0.13078	0
6.05	0.001	0.01	0.99615	1	0	0.99615	0
4.83	-0.128	-0.62	0.56874	1	0.39	0.56874	0
5.9	-0.824	-0.84	0.44956	1	0.71	0.44956	0
5.9	-0.543	-1.53	0.20771	1	2.33	0.20771	0
6.96	0.175	0.43	0.69287	1	0.18	0.69287	0
8.23	0.495	0.31	0.7758	1	0.09	0.7758	0
6.28	-1.36	-4.47	0.01335	1	19.95	0.01335	0
7.45	-0.406	-1.21	0.29684	1	1.47	0.29684	0
4.34	-0.772	-2.32	0.08641	1	5.4	0.08641	0
3.29	-0.41	-2.14	0.10464	1	4.59	0.10464	0
6.91	0.031	0.13	0.90158	1	0.02	0.90158	0
4.67	0.121	0.31	0.77544	1	0.09	0.77544	0
7.38	0.082	0.39	0.71632	1	0.15	0.71632	0
7.85	-0.231	-0.96	0.39588	1	0.92	0.39588	0
5.75	-0.264	-0.68	0.53725	1	0.46	0.53725	0
5.81	-0.044	-0.24	0.82055	1	0.06	0.82055	0
6	-0.348	-0.33	0.75809	1	0.11	0.75809	0
4.99	-0.181	-1.07	0.3478	1	1.15	0.3478	0
6.45	-0.127	-0.61	0.57662	1	0.37	0.57662	0
5.94	-0.216	-0.87	0.43922	1	0.75	0.43922	0
7.42	-0.04	-0.09	0.93064	1	0.01	0.93064	0
7.89	-0.084	-0.43	0.69059	1	0.19	0.69059	0
8.22	-0.331	-0.99	0.38053	1	0.99	0.38053	0
7.08	-0.21	-0.89	0.42726	1	0.79	0.42726	0
6.91	-0.029	-0.12	0.91395	1	0.01	0.91395	0
7.7	0.613	2.97	0.04565	1	8.81	0.04565	0
7.47	-0.25	-0.64	0.55984	1	0.41	0.55984	0
5.84	-0.29	-0.58	0.59277	1	0.34	0.59277	0
6.53	0.034	0.06	0.95567	1	0	0.95567	0
7.02	-0.647	-2.26	0.09242	1	5.1	0.09242	0
6.2	-0.219	-0.73	0.50844	1	0.53	0.50844	0
5.58	-0.054	-0.21	0.84653	1	0.04	0.84653	0
5.11	-0.157	-0.53	0.62598	1	0.28	0.62598	0
6.86	-0.65	-0.6	0.58611	1	0.35	0.58611	0
9.12	-0.127	-0.44	0.68526	1	0.19	0.68526	0
5.38	0.114	0.54	0.61994	1	0.29	0.61994	0
6.9	-0.002	-0.01	0.99484	1	0	0.99484	0
3.03	-0.12	-0.71	0.51921	1	0.51	0.51921	0
13.14	0.134	0.63	0.56567	1	0.4	0.56567	0
7.21	-0.766	-0.77	0.48542	1	0.6	0.48542	0
8.71	0.023	0.06	0.95888	1	0	0.95888	0
5.92	0.188	1.09	0.34232	1	1.19	0.34232	0
5.34	-0.114	-0.65	0.55118	1	0.43	0.55118	0
5.43	-0.174	-0.83	0.45682	1	0.69	0.45682	0
10.92	0.321	0.86	0.44086	1	0.74	0.44086	0
8.04	0.289	1.81	0.15054	1	3.28	0.15054	0
4.4	-0.449	-1.99	0.12388	1	3.95	0.12388	0
6.72	-1.069	-4.43	0.01375	1	19.58	0.01375	0
6.12	0.018	0.04	0.96785	1	0	0.96785	0
7.07	0.13	0.72	0.5124	1	0.52	0.5124	0
7.59	-0.073	-0.26	0.80906	1	0.07	0.80906	0
7.08	0.278	1	0.37993	1	0.99	0.37993	0
6.85	-0.383	-2.43	0.07723	1	5.92	0.07723	0
7.04	-0.131	-0.14	0.89339	1	0.02	0.89339	0
6.75	-0.196	-0.17	0.87231	1	0.03	0.87231	0
6.78	0.021	0.08	0.94407	1	0.01	0.94407	0
7.21	1.955	2.39	0.08056	1	5.72	0.08056	0
6.68	-0.867	-1.47	0.22248	1	2.15	0.22248	0
5.61	-0.139	-0.51	0.63595	1	0.27	0.63595	0
4.88	-0.533	-0.8	0.47202	1	0.64	0.47202	0
6.81	-0.67	-1.69	0.17328	1	2.84	0.17328	0
4.18	0.111	0.36	0.73847	1	0.13	0.73847	0
3.79	0.002	0	0.99858	1	0	0.99858	0
10.13	0.216	1.37	0.24877	1	1.87	0.24877	0
4.29	0.203	1.03	0.36684	1	1.06	0.36684	0
5.82	0.098	0.22	0.84073	1	0.05	0.84073	0
8.79	-0.93	-3.82	0.02187	1	14.57	0.02187	0
6.96	0.354	0.48	0.66093	1	0.23	0.66093	0
7.56	0.156	0.21	0.8456	1	0.04	0.8456	0
5.75	1.861	1.39	0.24285	1	1.93	0.24285	0
6.88	0.241	0.52	0.63411	1	0.27	0.63411	0
3.77	0.12	0.53	0.6242	1	0.28	0.6242	0
7.68	-0.126	-0.7	0.52705	1	0.49	0.52705	0
6.3	0.265	0.61	0.57999	1	0.37	0.57999	0
5.84	-0.031	-0.16	0.8778	1	0.03	0.8778	0
7.78	-0.543	-1.64	0.18264	1	2.69	0.18264	0
6.47	0.224	0.87	0.43809	1	0.75	0.43809	0
6.52	0.426	1.29	0.27331	1	1.65	0.27331	0
6.62	1.392	1.02	0.36984	1	1.04	0.36984	0
7.12	-0.453	-1.86	0.14205	1	3.47	0.14205	0
7.56	0.308	0.54	0.62275	1	0.29	0.62275	0
6.54	0.087	0.42	0.69544	1	0.18	0.69544	0
