A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
11.57	0.424	2.64	0.06276	1	6.96	0.06276	0
8.76	-0.273	-0.59	0.58927	1	0.35	0.58927	0
8.9	0.33	1.33	0.25992	1	1.77	0.25992	0
9.95	0.439	1.34	0.25644	1	1.8	0.25644	0
9.75	0.192	0.45	0.67743	1	0.2	0.67743	0
9.38	0.118	0.7	0.52453	1	0.49	0.52453	0
11.95	0.437	1.47	0.22178	1	2.16	0.22178	0
10.96	-0.429	-1.55	0.20241	1	2.4	0.20241	0
8.71	0.434	0.94	0.40499	1	0.88	0.40499	0
10.84	0.27	1.44	0.22807	1	2.08	0.22807	0
11.85	0.038	0.17	0.87429	1	0.03	0.87429	0
9.7	0.938	1.71	0.16904	1	2.91	0.16904	0
10.3	-0.627	-2.99	0.04454	1	8.97	0.04454	0
12.76	-0.111	-0.64	0.56166	1	0.41	0.56166	0
9.47	0.266	1.31	0.26694	1	1.71	0.26694	0
9.26	0.092	0.33	0.7615	1	0.11	0.7615	0
8.71	-0.397	-1.24	0.28897	1	1.53	0.28897	0
11.78	0.634	2.38	0.08155	1	5.66	0.08155	0
9.24	0.585	1.37	0.2485	1	1.87	0.2485	0
10.01	-0.333	-1.51	0.21156	1	2.28	0.21156	0
8.16	-0.964	-4.35	0.01456	1	18.89	0.01456	0
8.19	-0.707	-3.09	0.04078	1	9.55	0.04078	0
4.9	-0.501	-2.41	0.07903	1	5.81	0.07903	0
7.84	0.321	0.48	0.65946	1	0.23	0.65946	0
10.13	-0.681	-2.14	0.10535	1	4.56	0.10535	0
7.53	1.535	1.01	0.37402	1	1.02	0.37402	0
9.48	0.032	0.12	0.90748	1	0.02	0.90748	0
7.99	0.079	0.19	0.85795	1	0.04	0.85795	0
8.32	0.337	0.65	0.55599	1	0.42	0.55599	0
7.69	1.379	3.1	0.04029	1	9.63	0.04029	0
8.05	0.539	0.94	0.40503	1	0.88	0.40503	0
7.79	2.883	1.52	0.20894	1	2.31	0.20894	0
8.64	1.29	3.19	0.03713	1	10.2	0.03713	0
9.15	0.521	2.34	0.08457	1	5.5	0.08457	0
9.27	-0.606	-1.63	0.18494	1	2.65	0.18494	0
9.69	-0.733	-1.46	0.22496	1	2.12	0.22496	0
9.26	-0.329	-1.52	0.20941	1	2.31	0.20941	0
7.71	0.285	0.54	0.62108	1	0.29	0.62108	0
10.21	0.674	3.04	0.04263	1	9.25	0.04263	0
10.15	0.382	1.13	0.32652	1	1.28	0.32652	0
6.9	0.549	1.24	0.28893	1	1.53	0.28893	0
7.26	-0.164	-0.84	0.45327	1	0.7	0.45327	0
8.51	-0.397	-1.87	0.14107	1	3.49	0.14107	0
9.07	0.188	0.52	0.63524	1	0.27	0.63524	0
9.05	-0.168	-1.05	0.35646	1	1.11	0.35646	0
9.2	0.486	1.72	0.16595	1	2.97	0.16595	0
9.35	-0.557	-2.62	0.06375	1	6.88	0.06375	0
7.54	-0.158	-0.38	0.72807	1	0.14	0.72807	0
8.26	-0.026	-0.04	0.96837	1	0	0.96837	0
8.74	0.171	0.44	0.68528	1	0.19	0.68528	0
9.89	-0.828	-3	0.04444	1	8.98	0.04444	0
8.66	-0.189	-0.46	0.66854	1	0.22	0.66854	0
9.88	-0.327	-0.82	0.46008	1	0.68	0.46008	0
8.27	0.515	0.9	0.42073	1	0.82	0.42073	0
8.25	-0.288	-0.39	0.71628	1	0.15	0.71628	0
10.39	0.283	1.66	0.17804	1	2.76	0.17804	0
10.39	-0.045	-0.12	0.91393	1	0.01	0.91393	0
8.03	1.218	0.86	0.44434	1	0.73	0.44434	0
12.42	-0.117	-0.45	0.67886	1	0.2	0.67886	0
11.45	-0.447	-0.98	0.38709	1	0.96	0.38709	0
7.26	0.185	0.26	0.80948	1	0.07	0.80948	0
8.6	0.362	0.42	0.70087	1	0.17	0.70087	0
7.58	0.792	0.76	0.49119	1	0.58	0.49119	0
10.11	0.888	1.57	0.19795	1	2.46	0.19795	0
9.51	0.297	0.65	0.55621	1	0.42	0.55621	0
10.09	0.37	0.77	0.48723	1	0.59	0.48723	0
9.29	1.848	2.12	0.10765	1	4.48	0.10765	0
10.91	0.339	0.65	0.55258	1	0.43	0.55258	0
